Station_Id_C Year_Data Mon_Data Day_Data Hour_Data EVSS V03099 Time_Dev_WQ Lat_Dev Lon_Dev PRS_HWC GPH WIN_D WIN_S TEM DPT DTD
59280 2020 5 30 0 8192.0000 20200529231516 2381.0000 0.1570 0.3196 134.0000 999999.0000 999999.0000 999999.0000 -70.7000 999999.0000 999998.0000 
59280 2020 5 30 0 8192.0000 20200529231516 2550.0000 0.1605 0.3420 105.0000 999999.0000 999999.0000 999999.0000 -76.4000 999999.0000 999998.0000 
59280 2020 5 30 0 8192.0000 20200529231516 2079.0000 0.1336 0.2671 191.0000 999999.0000 999999.0000 999999.0000 -53.4000 -60.0000 6.6000 
59280 2020 5 30 0 8192.0000 20200529231516 3529.0000 0.1599 0.2758 29.9000 999999.0000 999999.0000 999999.0000 -53.4000 999999.0000 999998.0000 
59280 2020 5 30 0 8192.0000 20200529231516 3854.0000 0.1689 0.2441 20.2000 999999.0000 999999.0000 999999.0000 -50.2000 999999.0000 999998.0000 
59280 2020 5 30 0 8192.0000 20200529231516 3091.0000 0.1599 0.3298 51.2000 999999.0000 999999.0000 999999.0000 -63.7000 999999.0000 999998.0000 
59280 2020 5 30 0 8192.0000 20200529231516 3300.0000 0.1614 0.3072 39.1000 999999.0000 999999.0000 999999.0000 -61.5000 999999.0000 999998.0000 
59280 2020 5 30 0 8192.0000 20200529231516 4157.0000 0.1742 0.2215 13.7000 999999.0000 999999.0000 999999.0000 -47.8000 999999.0000 999998.0000 
59280 2020 5 30 0 8192.0000 20200529231516 2381.0000 0.1570 0.3196 134.0000 999999.0000 999999.0000 999999.0000 -70.7000 999999.0000 999998.0000 
59280 2020 5 30 0 8192.0000 20200529231516 2550.0000 0.1605 0.3420 105.0000 999999.0000 999999.0000 999999.0000 -76.4000 999999.0000 999998.0000 
59280 2020 5 30 0 8192.0000 20200529231516 1892.0000 0.1126 0.2369 230.0000 999999.0000 999999.0000 999999.0000 -42.2000 -57.4000 15.2000 
59280 2020 5 30 0 8192.0000 20200529231516 2816.0000 0.1593 0.3452 72.2000 999999.0000 999999.0000 999999.0000 -75.5000 999999.0000 999998.0000 
59280 2020 5 30 0 8192.0000 20200529231516 2906.0000 0.1645 0.3401 64.1000 999999.0000 999999.0000 999999.0000 -77.0000 999999.0000 999998.0000 
