Station_Id_C Year_Data Mon_Data Day_Data Hour_Data EVSS V03099 Time_Dev_WQ Lat_Dev Lon_Dev PRS_HWC GPH WIN_D WIN_S TEM DPT DTD
45004 2020 5 30 0 8192.0000 20200529232000 1572.0000 0.1382 0.1212 325.9000 9188.0000 214.0000 7.8000 -21.9900 -23.9100 null 
45004 2020 5 30 0 65536.0000 20200529232000 1794.0000 0.1488 0.1311 300.0000 9790.0000 260.0000 6.5000 -26.7700 -28.6800 null 
45004 2020 5 30 0 65536.0000 20200529232000 1081.0000 0.0926 0.0819 500.0000 5906.0000 218.0000 12.9000 -2.8000 -2.8000 null 
45004 2020 5 30 0 8192.0000 20200529232000 1382.0000 0.1227 0.1074 351.0000 8637.0000 221.0000 11.2000 -19.6200 -21.2200 null 
45004 2020 5 30 0 65536.0000 20200529232000 1255.0000 0.1093 0.0969 400.0000 7649.0000 194.0000 19.4000 -11.6600 -11.6600 null 
45004 2020 5 30 0 8192.0000 20200529232000 1288.0000 0.1148 0.0993 381.2000 8017.0000 211.0000 19.5000 -13.8300 -13.8300 null 
45004 2020 5 30 0 65536.0000 20200529232000 3020.0000 0.1855 0.2441 150.0000 14386.0000 263.0000 10.0000 -66.9400 -69.9200 null 
45004 2020 5 30 0 65536.0000 20200529232000 2706.0000 0.1782 0.2132 200.0000 12578.0000 258.0000 11.2000 -50.0800 -53.9700 null 
45004 2020 5 30 0 8192.0000 20200529232000 3188.0000 0.1868 0.2563 130.2000 15225.0000 265.0000 7.5000 -74.6500 -77.6600 null 
45004 2020 5 30 0 8192.0000 20200529232000 3559.0000 0.1935 0.2815 100.0000 16757.0000 246.0000 4.1000 -78.8700 -83.6400 null 
45004 2020 5 30 0 8192.0000 20200529232000 3270.0000 0.1861 0.2638 124.3000 15496.0000 279.0000 11.1000 -72.2000 -76.8300 null 
45004 2020 5 30 0 65536.0000 20200529232000 3559.0000 0.1935 0.2815 100.0000 16757.0000 246.0000 4.1000 -78.8700 -83.6400 null 
45004 2020 5 30 0 8192.0000 20200529232000 2126.0000 0.1562 0.1562 259.0000 10833.0000 268.0000 10.6000 -34.8500 -37.1800 null 
45004 2020 5 30 0 8192.0000 20200529232000 2386.0000 0.1625 0.1798 228.3000 11698.0000 238.0000 6.6000 -42.5300 -45.9800 null 
45004 2020 5 30 0 65536.0000 20200529232000 2193.0000 0.1574 0.1618 250.0000 11078.0000 268.0000 8.1000 -37.0900 -39.7500 null 
